user_id,Recency_score,Frequency_score,Monetary_score
5a93887b0f23e9007c31fc88,4,5,4
5a9cce8ede402c0bb845f841,5,4,5
5a180934f75b622ab8569665,4,5,4
596344e670de2437f0253929,3,5,5
5a3f16fa81857815001e1b95,5,4,5
5a544c41ca726521788aa6b7,5,5,3
5968b2fa4999581a648561db,4,4,5
5a70527c27f2fb15dc2cbf52,5,3,5
5a10274f16fd7831dcc21db9,5,5,3
59048267836872e942579fc1,1,5,5
595da293f31a6623481dce6b,5,5,3
5a783f63fe098c1c4099be8c,3,5,5
5ab775d27b988a2798909263,5,3,5
5a717f66d4dfb905e46b53f6,1,2,5
59048490836872e94257b999,4,5,4
59048410836872e94257b090,4,5,4
597dafcb28cd6667b45aae34,3,4,5
5a7d490f5a517f1c2895c437,3,5,5
5a73d1c1e803482760d2ef5c,4,5,4
590483c0836872e94257acbb,4,5,4
5a583b3bc78a781484945e77,5,5,3
5a35f6cd240ee469142be186,4,5,4
5904837e836872e94257ab59,5,4,5
5a7baa2d5a517f1c2895b90d,2,5,5
5ab103669f1525201c3d8d87,5,5,3
5904831b836872e94257a5b1,4,5,4
5904845c836872e94257b4c4,1,5,5
5a4f2457dd36631fa874ff04,3,4,5
5a77964e131c3b1bd0cbc529,5,5,2
5a19450af75b622ab8569e42,5,5,2
59048410836872e94257b104,4,5,4
5a349b6892849f4b089a8237,5,5,2
5a45e3710ffaba1f88b83b6b,2,5,5
5a60838a0fa90526b0d33ae4,5,5,2
59bddd00e613e248107fa812,5,4,5
5a44be18517dd01550d16aee,3,5,5
5a961f9eb4f84d0f800aec1e,5,4,5
5a41bf14bfcc281850c22363,3,5,5
5a96f165b4f84d0f800af23a,5,5,2
5a26093f907a154a44c21351,5,5,2
5a17c01ef75b622ab856934f,3,5,5
59dda15cfacc4d08e40c47f7,5,5,2
59048267836872e942579d6c,5,5,2
59048410836872e94257b27d,5,4,5
5a0cffde260f8f3180602b64,4,5,4
5aa9df94d2e28e2090e25b4f,5,4,5
59dc57bcd707e925e0d2c154,4,5,4
5a503a5c6f185f14d40d03c6,5,5,2
59048490836872e94257b7c7,4,5,3
5abc9ca65652022fa06c7846,5,1,5
5a476076064a1b2708010795,4,5,3
5a92260964a7cc16fca2d007,5,4,5
5a7fb3d2aad86a10d886ffe7,3,5,5
59048232836872e942579ce8,5,5,2
59bca810b89c1c34b8078179,5,5,2
590484d0836872e94257bda0,4,5,3
5a3b912459ffc3059c30ff57,3,5,5
5a2a29713335f776d4828b1e,5,5,2
59b9fe380367851634d291af,3,5,5
5a45b45f0ffaba1f88b838fc,4,4,5
5ab0864d9f1525201c3d88ac,5,4,5
59048490836872e94257ba19,5,3,5
5ab318b7f4183829687878ec,4,2,5
5a24d46e907a154a44c20b8c,5,4,5
5a3de1d159ffc3059c310b56,5,5,2
5a4c8c9b522b3818e80f5f64,5,5,2
5a4626d3417c0920384c8331,1,5,5
59f4625f96111817b49a64cf,2,2,5
5a8e3035a1fbea24ec25a7f0,3,5,5
5a3f153181857815001e1b74,4,5,3
5a261c9b907a154a44c214b5,4,4,5
5aa0d158bfc1001ac08c22f0,5,3,5
5960989a2b041b1ef4e606af,3,5,5
5a1be927e188d86464511aba,4,4,5
5a896c67ae38ac1bfc16ff71,3,5,5
599d5d9eb70396151c213b44,4,5,3
5a1b7bcf1c8bb56edc2a2209,3,5,5
5aab70b29014db2948169738,3,2,5
5aac9542ca6c5a20f84bb3a3,5,4,5
5a1ba0aeb59d031c60b3ef0e,5,4,5
5a1bcb24608c8c47b4f2049f,4,5,3
5a9cc8bbde402c0bb845f7de,5,5,2
5a2a2aab3335f776d4828b4c,3,5,5
596ee392d8736956dc9d4f75,3,5,5
590484d0836872e94257bcd0,5,4,5
5a3b321d59ffc3059c30f9cc,5,3,5
5a41d91cbfcc281850c224d6,5,4,5
59048490836872e94257b791,3,5,5
59eb0b41b3b7fd36241f80b4,5,3,5
5a9692f0b4f84d0f800af163,4,5,3
5a3650e8f4d92f3d9c0a1106,5,5,2
597dc76c28cd6667b45ab015,2,5,5
59048232836872e942579b4d,2,5,5
596896f84999581a648560f9,4,5,3
59b174e8e73f201f6422619e,1,5,5
5a91524c64a7cc16fca2cee0,5,5,2
590483c0836872e94257abdb,3,5,5
5a84d9edb208f7181469bd5b,2,4,5
5ab075fd34569109b0bf6de0,4,4,5
590484f8836872e94257bf81,3,5,4
5a50cd7c3443c11678c900f0,5,4,5
5ab63b0e7b988a2798908bf3,5,3,5
5a378822f4d92f3d9c0a1914,4,4,5
5a543d89ca726521788aa5d5,5,5,2
5a72bb73940e90340445e403,5,4,4
590483c0836872e94257ae97,5,1,5
5a655f1e7a42103220efb3f7,4,5,3
59e0907909bb9127e028ceda,5,5,2
5a75512384425d130871ada2,1,5,5
59048267836872e94257a070,4,5,3
59745f0abaa31b6b28d114e0,4,5,3
5a10f3d016fd7831dcc21ec5,4,5,3
5904831b836872e94257a685,5,4,4
5a6d765e8d767b2aecde88e6,5,3,5
5904837e836872e94257a9b0,5,3,5
59048232836872e942579bfa,3,5,4
5a20ffa65ad1ff1764b2fb24,4,5,3
5a31f6d7f21a3e33e88c99f3,4,5,3
5ab1c7d89f1525201c3d8e22,5,4,4
5a75177b84425d130871aa05,1,5,5
5a4c52c7522b3818e80f5b92,5,5,2
